Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.36363896160851483
75% Corpus,2,0.01,0.31,0.3762684334916264
75% Corpus,2,0.01,0.61,0.37266784003256487
75% Corpus,2,0.01,0.9099999999999999,0.3606442942566226
75% Corpus,2,0.01,symmetric,0.3609907756547076
75% Corpus,2,0.31,0.01,0.3692610625594241
75% Corpus,2,0.31,0.31,0.3729047899977187
75% Corpus,2,0.31,0.61,0.37538284778173736
75% Corpus,2,0.31,0.9099999999999999,0.39215217938896246
75% Corpus,2,0.31,symmetric,0.3888880900285182
75% Corpus,2,0.61,0.01,0.40421513426846917
75% Corpus,2,0.61,0.31,0.4047260041078218
75% Corpus,2,0.61,0.61,0.4121229572609575
75% Corpus,2,0.61,0.9099999999999999,0.39446502943853223
75% Corpus,2,0.61,symmetric,0.4009488614494785
75% Corpus,2,0.9099999999999999,0.01,0.402567487583844
75% Corpus,2,0.9099999999999999,0.31,0.3845368601695986
75% Corpus,2,0.9099999999999999,0.61,0.3845368601695986
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3845368601695986
75% Corpus,2,0.9099999999999999,symmetric,0.3872374946301724
75% Corpus,2,symmetric,0.01,0.3729397844608192
75% Corpus,2,symmetric,0.31,0.39955677476456253
75% Corpus,2,symmetric,0.61,0.40007018611184125
75% Corpus,2,symmetric,0.9099999999999999,0.3901982560759918
75% Corpus,2,symmetric,symmetric,0.3944075835903301
75% Corpus,2,asymmetric,0.01,0.4004902011929815
75% Corpus,2,asymmetric,0.31,0.3762999557825545
75% Corpus,2,asymmetric,0.61,0.3826828298178312
75% Corpus,2,asymmetric,0.9099999999999999,0.44471798816824953
75% Corpus,2,asymmetric,symmetric,0.3834423944945945
75% Corpus,3,0.01,0.01,0.339998532234032
75% Corpus,3,0.01,0.31,0.350903203441229
75% Corpus,3,0.01,0.61,0.30998992012968446
75% Corpus,3,0.01,0.9099999999999999,0.3303582587161617
75% Corpus,3,0.01,symmetric,0.3242728254365173
75% Corpus,3,0.31,0.01,0.34187080202514625
75% Corpus,3,0.31,0.31,0.3432290755642085
75% Corpus,3,0.31,0.61,0.32734043722734246
75% Corpus,3,0.31,0.9099999999999999,0.34835585818860176
75% Corpus,3,0.31,symmetric,0.331111400327685
75% Corpus,3,0.61,0.01,0.30374714563115274
75% Corpus,3,0.61,0.31,0.3161660551571018
75% Corpus,3,0.61,0.61,0.3133493424889473
75% Corpus,3,0.61,0.9099999999999999,0.32290718116237394
75% Corpus,3,0.61,symmetric,0.3086252317623292
75% Corpus,3,0.9099999999999999,0.01,0.30320982495067494
75% Corpus,3,0.9099999999999999,0.31,0.3066978422981215
75% Corpus,3,0.9099999999999999,0.61,0.29860780103038903
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.32131779071217775
75% Corpus,3,0.9099999999999999,symmetric,0.29500871459896455
75% Corpus,3,symmetric,0.01,0.32420457274390796
